#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:42+0000 #
#####################################################################
#
# seed = 53.0, spacing = 0.5, error = 0.1, mode = reactive, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
22.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
23.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
24.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
25.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
26.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
27.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
28.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
29.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
30.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
31.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
32.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
33.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
34.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
35.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
36.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
37.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
38.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
39.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
40.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
41.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
42.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
43.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
44.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
45.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
46.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
47.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
48.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
49.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
50.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
51.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
52.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
53.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
54.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
55.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
56.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
57.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
58.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
59.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
60.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
61.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
62.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
63.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
64.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
65.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
66.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
67.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
68.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
69.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
70.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
71.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
72.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
73.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
74.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
75.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
76.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
77.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
78.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
79.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
80.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
81.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
82.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
83.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
84.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
85.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
86.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
87.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
88.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
89.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
90.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
91.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
92.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
93.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
94.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
95.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
96.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
97.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
98.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
99.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
100.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
101.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
102.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
103.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
104.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
105.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
106.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
107.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
108.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
109.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
110.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
111.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
112.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
113.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
114.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
115.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
116.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
117.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
118.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
119.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
120.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
121.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
122.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
123.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
124.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
125.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
126.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
127.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
128.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
129.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
130.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
131.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
132.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
133.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
134.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
135.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
136.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
137.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
138.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
139.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
140.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
141.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
142.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
143.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
144.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
145.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
146.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
147.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
148.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
149.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
150.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
151.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
152.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
153.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
154.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
155.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
156.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
157.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
158.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
159.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
160.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
161.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
162.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
163.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
164.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
165.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
166.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
167.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
168.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
169.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
170.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
171.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
172.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
173.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
174.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
175.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
176.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
177.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
178.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
179.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
180.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
181.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
182.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
183.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
184.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
185.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
186.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
187.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
188.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
189.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
190.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
191.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
192.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
193.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
194.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
195.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
196.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
197.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
198.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
199.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
200.0 1.9750000000000014 31931.0 224793.0 12713.0 15459.0 33411.0
201.0 3.5750000000000055 33055.0 232770.0 12713.0 16634.0 34586.0
202.0 4.2250000000000005 35172.0 248071.0 12713.0 18659.0 36805.0
203.0 3.2750000000000066 37541.0 264959.0 12713.0 20242.0 39227.0
204.0 2.6 39159.0 276607.0 12713.0 20502.0 40930.0
205.0 1.3250000000000002 41025.0 289916.0 12713.0 20517.0 42859.0
206.0 1.074999999999998 42802.0 302391.0 12713.0 20517.0 44738.0
207.0 1.074999999999998 44302.0 312926.0 12713.0 20517.0 46315.0
208.0 1.074999999999998 45268.0 319523.0 12713.0 20517.0 47325.0
209.0 1.074999999999998 45615.0 321937.0 12713.0 20517.0 47705.0
210.0 1.074999999999998 45795.0 323161.0 12713.0 20517.0 47885.0
211.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
212.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
213.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
214.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
215.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
216.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
217.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
218.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
219.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
220.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
221.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
222.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
223.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
224.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
225.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
226.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
227.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
228.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
229.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
230.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
231.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
232.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
233.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
234.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
235.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
236.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
237.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
238.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
239.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
240.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
241.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
242.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
243.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
244.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
245.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
246.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
247.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
248.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
249.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
250.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
251.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
252.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
253.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
254.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
255.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
256.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
257.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
258.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
259.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
260.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
261.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
262.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
263.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
264.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
265.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
266.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
267.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
268.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
269.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
270.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
271.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
272.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
273.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
274.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
275.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
276.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
277.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
278.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
279.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
280.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
281.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
282.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
283.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
284.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
285.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
286.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
287.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
288.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
289.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
290.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
291.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
292.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
293.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
294.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
295.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
296.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
297.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
298.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
299.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
300.0 1.074999999999998 45849.0 323518.0 12713.0 20517.0 47939.0
#####################################################################
# End of data export. Simulation finished at: 2023-05-22T03:09+0000 #
#####################################################################
